country,gdesc,kdp_1mo,kdp_3mo,kdp_6mo,kdp_1yr,kdp_2yr,kdp_3yr,kdp_4yr,kdp_5yr,kdp_7yr,kdp_10yr,Cluster
AUT,Communications,0.0013350503937007874,0.0014607305511811024,0.0016805337007874015,0.0021679773228346455,0.0031302296850393703,0.0037300769291338585,0.0041774718897637795,0.004498670472440945,0.0049672896850393704,0.005329784409448819,1
AUT,Cons Disc,0.005226729017632241,0.005421953627204031,0.005754425516372797,0.006329488727959697,0.007084059647355164,0.007460480730478589,0.0076918267380352645,0.007818759748110832,0.007981530465994962,0.008069451460957179,1
AUT,Cons Stap,0.002779759551934827,0.003060179368635438,0.003493558085539715,0.004330026374745418,0.005613338920570265,0.006353630896130346,0.006847472851323829,0.00717239733197556,0.007594759572301425,0.007883896130346232,1
AUT,Energy,0.002712116773255814,0.00301599136627907,0.0034774359593023256,0.0043587,0.005674188924418604,0.006424163924418604,0.0069219638372093025,0.0072475243895348835,0.007669400029069767,0.007966269912790699,1
AUT,Financials,0.007156098583629894,0.00722085084697509,0.007478817195729536,0.007932844099644128,0.008434853409252669,0.008563959580071175,0.00858834343772242,0.00853717975088968,0.008447990790035588,0.008333792555160141,1
AUT,Health Care,0.009124321157024792,0.009283058842975206,0.009477624462809918,0.009729718677685949,0.010060969338842976,0.010213317685950412,0.010278155041322314,0.010274690909090908,0.010243332975206612,0.010140765537190082,1
AUT,Industrials,0.004200959570383912,0.0044704486791590494,0.0048735807952468005,0.00557217047989031,0.006531713797989031,0.007043010914076783,0.007368629131627056,0.00756498718464351,0.007817046467093237,0.007971487225776966,1
AUT,Info Tech,0.0027884159077809795,0.003090412233429394,0.003547571023054755,0.00441154750720461,0.005689965979827089,0.006435883097982709,0.006940044005763688,0.0072777032132564845,0.007720557867435159,0.008034470691642651,1
AUT,Materials,0.004127633530726257,0.004373445832402235,0.004734520782122905,0.0053544994748603355,0.006220280782122905,0.006694444335195531,0.007006962681564245,0.007202262770949721,0.007463208145251397,0.007634249776536313,1
AUT,Real Estate,0.001956259540942928,0.0021113897146401986,0.002374749416873449,0.0029272285732009923,0.003919816017369727,0.004522958312655087,0.004960628933002482,0.005268913933002482,0.0057095484243176176,0.00604118705955335,1
AUT,Utilities,0.007613066023255814,0.007213277813953489,0.006814000604651163,0.006399305348837209,0.006487361906976744,0.006636978860465117,0.0067878706744186074,0.0068948242325581385,0.007082639139534884,0.007182641209302326,1
BEL,Communications,0.004745945596330276,0.004981104327217127,0.005317127431192661,0.005878900443425077,0.006671219938837923,0.007086738425076452,0.0073505736085626916,0.007504387232415904,0.0077064455810397555,0.007822531039755352,1
BEL,Cons Disc,0.009965981480769232,0.00960742196153846,0.009268471211538459,0.008844902596153847,0.008644409673076925,0.008590959730769229,0.00858188573076923,0.008562640673076924,0.00856409001923077,0.008511070076923076,1
BEL,Cons Stap,0.0022892318113207546,0.002498487169811321,0.002810240201257862,0.0033981985597484276,0.00435285048427673,0.00493941355345912,0.005366248691823899,0.005670329377358491,0.006104283257861635,0.006427220012578616,1
BEL,Energy,0.0024645676666666667,0.0027061167777777777,0.0030978255555555553,0.0038789425833333333,0.005120615833333333,0.005830914638888889,0.0063091371388888885,0.006623705027777778,0.007040392416666667,0.007339399972222222,1
BEL,Financials,0.004071818625134263,0.00425977298603652,0.004553375558539205,0.005061549044038668,0.0057897739044038676,0.006198518464017186,0.006480517099892589,0.006666851444683136,0.006932471954887218,0.007108066160042965,1
BEL,Health Care,0.007023583142422707,0.007310944642676126,0.007701628596046633,0.008329441829700959,0.009115724105423214,0.0095455020729853,0.009800001723264068,0.009938126163203241,0.010087244292954893,0.010127000212873796,1
BEL,Industrials,0.005327772469018112,0.005589501005719733,0.005986064933269779,0.006633882349857007,0.007428187588179218,0.007824359938036223,0.008062062940896092,0.008189762588179219,0.008344677545281221,0.008421239461391802,1
BEL,Info Tech,0.0030224331922723093,0.0033508048298068077,0.003815892778288869,0.0046663928242870285,0.005899110873965041,0.0066229129990800365,0.007110325758969641,0.007437821021159153,0.007866551987120515,0.00815979009199632,1
BEL,Materials,0.005091167515960533,0.005299687150319212,0.005619705060940221,0.006159315681950087,0.006892852727800347,0.00728075780034823,0.007528527858386535,0.007673377063261753,0.007863842484039466,0.007972475374347069,1
BEL,Real Estate,0.0015822406896551721,0.0017484321065830723,0.0020176541536050157,0.002579760072100314,0.0035968368401253924,0.004232889144200628,0.004701434554858934,0.0050379012633228835,0.005520059451410658,0.0058875007899686525,1
BEL,Utilities,0.002597701685393258,0.0027744023595505617,0.00305037595505618,0.0036274820224719098,0.004697094943820225,0.005351748988764045,0.005815408258426966,0.006134034382022472,0.006573603089887641,0.006885385337078651,1
CHE,Communications,0.007738996859361516,0.007897407290767903,0.008120388559102671,0.00852383642795513,0.009193864538395168,0.0095515607679033665,0.009751151104400346,0.009841485746333046,0.009929242355478861,0.009899179370146678,1
CHE,Cons Disc,0.00313574770691334,0.0033386768500486843,0.0036483262706913347,0.00423276046738072,0.005175492857838364,0.005756529518013633,0.006174309026290166,0.006466873286270691,0.006876194897760468,0.007172414625121713,1
CHE,Cons Stap,0.0025596593419267306,0.002678439701492537,0.002883151804613298,0.0033307005970149256,0.004185845379918589,0.0047442611804613295,0.005165093738127544,0.0054721321438263235,0.005917781200814111,0.006251826777476255,1
CHE,Energy,0.02494863980769231,0.024288537664835165,0.023496086840659344,0.022287877884615385,0.02117796445054945,0.02032954521978022,0.019573580961538464,0.01886394771978022,0.01781164291208791,0.01669147217032967,2
