term,estimate,std.error,statistic,p.value
z_unemp,-7.996043172374881e-4,3.318309986044301e-4,-2.409673359632933,0.01604384801184219
z_infl,-5.128709533002991e-4,7.422536741013605e-5,-6.909645195373766,6.2463091720955126e-12
z_yield,-6.077911179260377e-4,1.2605389401564788e-4,-4.82167665403965,1.515329860050749e-6
z_spread,0.0022473833158750756,1.4064463988035838e-4,15.979160796933664,1.2761967780663146e-54
z_gdp,-0.004120695087996271,0.001444362521006562,-2.8529507156725438,0.004369733166175933
z_gpr,-6.145086973013087e-5,7.110901816772667e-5,-0.8641782900895232,0.38757887181654793
