Cluster,n,PD_mean,unemp,hicp,yield,spread,gdp,gpr
3,13685,0.004116356560123246,335.9524515985461,2.42272221810364,1.32050243072177,70.69706740415378,131248.0021756359,0.19133638205233924
High risk,13045,0.008765307241306973,409.00693568726354,2.4964118766705408,1.620111935569052,104.688571291222,208481.1102120172,0.40366516623255955
Low risk,3890,0.019213040100266775,170.85350899742932,2.345986877462005,2.2922751097694842,126.80499716231554,74585.82571670828,1.10901105854689
NA,97,0.07825492489690722,25.129381443298968,0.5917525773195876,2.315360824742268,203.7938144329897,5465.986315789473,NA
