gdesc,n,term,estimate,std.error,statistic,p.value
Industrials,2960,z_spread,0.0034862295444272324,3.0095450170204095e-4,11.583908945408508,1.5494344034973205e-29
Industrials,2960,z_gdp,-0.0014174050168550927,3.3989256818069136e-4,-4.170155953811799,3.2556041589589626e-5
Industrials,2960,z_gpr,2.5970531777239867e-4,2.638159667943458e-4,0.9844184979707785,0.32510182220590056
Info Tech,2805,z_unemp,-4.932000729739121e-4,3.969774386255016e-4,-1.2423881686616063,0.214328280081979
Info Tech,2805,z_infl,-0.0010394961705594522,3.530970792295652e-4,-2.943938740098233,0.0033010057684125715
Info Tech,2805,z_yield,8.075785877037605e-4,5.373292970590916e-4,1.5029491079749349,0.1331067891241203
Info Tech,2805,z_spread,0.0031563993474003254,5.985237206385495e-4,5.273641191752341,1.5766999713042332e-7
Info Tech,2805,z_gdp,-0.002697375362182495,6.759618592657179e-4,-3.9904253845218323,6.981894523500712e-5
Info Tech,2805,z_gpr,3.5155067400318015e-4,5.246644031460157e-4,0.6700486480409126,0.5029515363567539
Materials,2730,z_unemp,-1.7785085986103368e-4,1.2119464571270988e-4,-1.4674811648249422,0.1424987932931098
Materials,2730,z_infl,-6.787209117211891e-4,1.0779825565802513e-4,-6.296214234433775,4.224750018577112e-10
Materials,2730,z_yield,-7.686455806949387e-4,1.6404316077410624e-4,-4.685630154087273,3.098997859095746e-6
Materials,2730,z_spread,0.002472007076875128,1.8272542269555104e-4,13.528533908463716,5.3524002891143365e-39
Materials,2730,z_gdp,-1.363026888314395e-4,2.0636678581196995e-4,-0.6604875309519576,0.5090636932586323
Materials,2730,z_gpr,0.001562587002286398,1.6017665053589522e-4,9.755398162332192,1.0314333196839186e-21
Real Estate,2676,z_unemp,-9.354029976601011e-4,1.772802238002284e-4,-5.276409165154134,1.5535962646337184e-7
Real Estate,2676,z_infl,-4.897114548689243e-4,1.5768434963397713e-4,-3.105644003388168,0.001941712577221379
Real Estate,2676,z_yield,-8.025980894300315e-4,2.399578635170726e-4,-3.344745938584038,8.482021956462465e-4
Real Estate,2676,z_spread,0.00224553975780521,2.6728576694920323e-4,8.401269485598787,1.1950001806852736e-16
Real Estate,2676,z_gdp,0.001969263710696202,3.018677084167847e-4,6.523598436627962,9.974173256023492e-11
Real Estate,2676,z_gpr,-0.0012807173436637275,2.3430203774750196e-4,-5.466095625868632,5.557042260707734e-8
Utilities,2426,z_unemp,-4.3892205237830505e-4,1.4576653253982482e-4,-3.011130502527302,0.00265543929549852
Utilities,2426,z_infl,1.1958628603568848e-4,1.2965406061221722e-4,0.9223489451160308,0.3565260153038391
Utilities,2426,z_yield,1.4782727759808043e-4,1.973024682096726e-4,0.7492419073084526,0.4538535218688954
Utilities,2426,z_spread,0.0018422391057259914,2.1977250823722655e-4,8.382482051565086,1.390125837513185e-16
Utilities,2426,z_gdp,3.4621992944226833e-5,2.482070938225029e-4,0.1394883297291479,0.8890869287479264
Utilities,2426,z_gpr,0.0010555267453256293,1.9265203347190558e-4,5.478928648212564,5.177585610735432e-8
