"Cause","Effect","F","pvalue"
"unemp_ts","PD_ts",3.29826452952231,0.0232170020200259
"hicp_ts","PD_ts",2.09866055944142,0.104655574664271
"yield_ts","PD_ts",0.718539513576495,0.543019620335757
"spread_ts","PD_ts",0.30211060489642,0.823808352081567
"gdp_ts","PD_ts",0.581362603285932,0.628491586577415
