iso,n,term,estimate,std.error,statistic,p.value
BEL,1320,z_unemp,-0.011452355412212447,0.0044006901088698,-2.6023998802209865,0.009364210535389201
BEL,1320,z_infl,-7.025649326923066e-5,3.9455845219809845e-4,-0.17806358697381686,0.8587011919671581
BEL,1320,z_yield,0.0010109394517228143,8.095384794298497e-4,1.2487849279688463,0.211971910186374
BEL,1320,z_spread,0.005524923197101224,0.0016761907540724045,3.296118406379523,0.001007155620428175
BEL,1320,z_gdp,-0.017297148516748267,0.011231982614174792,-1.5399906775958876,0.12380959434609679
BEL,1320,z_gpr,0.0017598786412574873,0.0011796800841021957,1.4918270342733269,0.1359907086347236
DNK,1320,z_unemp,-0.0019172272312928662,0.00762271294845052,-0.25151507662145195,0.801456248909717
DNK,1320,z_infl,8.051393129436153e-4,2.9396953119156273e-4,2.7388529337720824,0.00625087653381301
DNK,1320,z_yield,6.362623896645576e-4,3.0223550548692904e-4,2.105187438648152,0.035469292140116855
DNK,1320,z_spread,0.0028114567719072342,8.440715070200235e-4,3.3308277184157333,8.905447410151723e-4
DNK,1320,z_gdp,-0.11287976848592267,0.052868551627498754,-2.135102343662655,0.03294193149198649
DNK,1320,z_gpr,0.008984680562820833,0.0054106877394052375,1.6605431685489325,0.09704995674284236
ESP,1320,z_unemp,-0.0015071648318530926,6.54301801021158e-4,-2.3034704008163898,0.021411898815937806
ESP,1320,z_infl,-5.864039838296286e-4,3.353784291893715e-4,-1.748484496295722,0.08061969995580621
ESP,1320,z_yield,4.672651431718029e-4,6.234200185030699e-4,0.7495189908944221,0.4536820751421151
ESP,1320,z_spread,0.0011450287036172029,0.0017422483286371154,0.6572132598990115,0.5111618613240886
ESP,1320,z_gdp,-0.021608110130137016,0.005333550527729475,-4.051355662198202,5.398237522844423e-5
ESP,1320,z_gpr,0.004258484591548867,6.250142677204601e-4,6.813419807327486,1.4626356951968965e-11
FIN,1320,z_unemp,0.0017137075031979977,0.008215576155744071,0.20859249195807497,0.8347995337298849
FIN,1320,z_infl,-5.467574847992622e-4,5.003187773171704e-4,-1.0928182382662255,0.2746790819122753
FIN,1320,z_yield,-0.0017447590643779201,4.975577569479355e-4,-3.5066462938502476,4.694780315741878e-4
FIN,1320,z_spread,0.013674974457894768,0.002688566098616794,5.086344897724564,4.1935470449150127e-7
FIN,1320,z_gdp,-0.04001879710372231,0.015095118148602371,-2.6511085709804516,0.008121739179444651
FIN,1320,z_gpr,0.0013460657384888619,4.891598065191984e-4,2.7517913789100983,0.006010614655093517
FRA,1320,z_unemp,-0.0070784472705067774,0.0012254644763189972,-5.776134198331675,9.584172991074166e-9
FRA,1320,z_infl,-0.0020646455591555282,2.6221456264994495e-4,-7.873878316635751,7.280324989271892e-15
FRA,1320,z_yield,0.0021735003750552396,5.590578806897249e-4,3.8877913184476234,1.063448067393709e-4
FRA,1320,z_spread,0.0022054584432276937,0.0020444096732942355,1.0787751946379485,0.28089103907603435
FRA,1320,z_gdp,-0.008655992904212022,0.001755844999038717,-4.9298160765619805,9.30874812903081e-7
FRA,1320,z_gpr,2.2335554721472466e-4,1.6394681575825459e-4,1.3623658756756238,0.1733219277142432
GBR,1320,z_unemp,-0.00778364231904684,9.362754556327918e-4,-8.313410623144213,4.628981758241735e-16
GBR,1320,z_infl,-0.0028200535638293134,9.273616554404603e-4,-3.0409426002090836,0.002443961866854472
GBR,1320,z_yield,-0.003934802160033798,0.001347193237329574,-2.9207407304340545,0.0036011905475294096
GBR,1320,z_spread,0.0010043731923699481,3.058887501688027e-4,3.283459073979319,0.0010749727369814739
GBR,1320,z_gdp,-0.013017327050774808,0.0020259443076384677,-6.425313371989181,2.392384871740647e-10
GBR,1320,z_gpr,-4.8390314787172413e-4,8.807365278338996e-5,-5.494300878627628,5.445882542120583e-8
ITA,1320,z_unemp,-0.0013547920908907884,4.2262747135979496e-4,-3.205641333564459,0.0013808880054130435
ITA,1320,z_infl,-5.396526192349117e-6,1.8113907387569511e-4,-0.02979217060617429,0.9762374436448462
ITA,1320,z_yield,7.658162293070355e-4,2.8016755655876934e-4,2.7334222374402373,0.006354276193104197
ITA,1320,z_spread,-1.0431165823992254e-5,2.3583296101370487e-4,-0.04423116166270783,0.9647270364539984
ITA,1320,z_gdp,-0.015563605769912184,0.0016083906548944368,-9.676508454305628,2.0098738979704626e-21
ITA,1320,z_gpr,0.0029476401168556936,6.19642305831833e-4,4.757002691897646,2.187634847654924e-6
NLD,1320,z_unemp,-0.00989263643485522,0.0030614992375912506,-3.2313045560771143,0.0012636039834241324
NLD,1320,z_infl,-1.978076136217271e-5,1.9439048769415412e-4,-0.10175786684220338,0.9189647944555903
NLD,1320,z_yield,-1.0013172134601435e-4,4.312116791340097e-4,-0.23221013296093018,0.8164118987753141
NLD,1320,z_spread,0.004985233073537676,0.001670337924327917,2.984565578575097,0.0028936490621529333
NLD,1320,z_gdp,-0.027080036431001295,0.007780643257084773,-3.4804367114946686,5.174175040464176e-4
NLD,1320,z_gpr,0.0038586863344575923,0.0010877286232248327,3.5474715402979746,4.029945027582342e-4
POL,1320,z_unemp,-0.009441115706193682,0.001431771141907272,-6.594011731244358,6.243452338782944e-11
POL,1320,z_infl,-2.693900239167298e-4,3.430948784122439e-4,-0.7851764653654947,0.4324953006505633
POL,1320,z_yield,-0.0012638566482357431,4.0917741880705635e-4,-3.088774184852323,0.0020530771152640942
POL,1320,z_spread,0.0011330342417959097,7.698437895990899e-4,1.4717716205594875,0.14132817762394081
POL,1320,z_gdp,-0.04703549267122071,0.004065484956158887,-11.569466663495009,1.627966797315786e-29
POL,1320,z_gpr,3.28610234411847e-5,3.925387254104248e-4,0.08371409319380237,0.9332968314396186
PRT,1310,z_unemp,-0.006679497557669639,0.0064464528410492486,-1.0361508448702867,0.30032886534147096
PRT,1310,z_infl,0.0018716743967045221,0.0016769672102845959,1.1161067343629711,0.26458741038738626
PRT,1310,z_yield,-9.550078521184195e-4,0.0011723123310848742,-0.8146360204491254,0.4154332934028121
PRT,1310,z_spread,-4.564678946933495e-4,0.0022017044038108212,-0.20732478615352354,0.8357894293645987
PRT,1310,z_gdp,-0.1465723322830046,0.073480104935034,-1.9947213250796751,0.04628653702532688
PRT,1310,z_gpr,-0.008899067839085735,0.00816791912270334,-1.089514686102867,0.27613350687516114
SWE,1320,z_unemp,-1.2055066941030701e-4,0.0027630238899798037,-0.043629977231643906,0.9652061557091782
SWE,1320,z_infl,-0.001238768185247246,5.20702605297564e-4,-2.3790320475530016,0.017503978874605947
SWE,1320,z_yield,0.0033453417296051046,4.894757020621008e-4,6.834540949656116,1.2690889473960338e-11
SWE,1320,z_spread,5.0226259182655715e-5,0.0010010770530558192,0.05017222103866878,0.9599929696907901
SWE,1320,z_gdp,-0.022335161429427302,0.004762884309654294,-4.689419263061727,3.033052229969989e-6
SWE,1320,z_gpr,0.003624457734159666,6.966483639950545e-4,5.202707594653012,2.2849076323074937e-7
USA,1320,z_unemp,0.44497501932764455,0.06265281475073939,7.102235088685991,5.232145270276923e-12
USA,1320,z_infl,-7.116647997540066e-4,2.3924388140427917e-4,-2.9746415898988907,0.0031013089192706523
USA,1320,z_yield,-6.059023398302363e-4,6.236801110149608e-4,-0.9714953693876922,0.33185684159474416
USA,1320,z_spread,0.06893283868054288,0.020362621157969083,3.3852635250528853,7.77499944083698e-4
USA,1320,z_gdp,0.04955936461499959,0.01769551628247512,2.8006735618152634,0.005333417371304516
USA,1320,z_gpr,3.5959549169004864e-4,7.529778385430778e-5,4.77564508918115,2.4733402245547963e-6
