variable,na_share
iso,0
gdesc,0
Cluster,0.0031578604681446755
date,0
PD_mean,0
unemployment_rate,0.01826350229514601
hicp_yoy,0.02184458117654719
yield_10y,0.10030276394179119
bund_10y,0.17189178630725657
credit_spread_bp,0.14327571051860533
gdp,0.06286421199986977
gpr,0.3557313539733698
