gdesc,n,term,estimate,std.error,statistic,p.value
Health Care,2724,z_spread,-0.007901480510005651,0.003971434315170266,-1.989578545923123,0.04685343093680204
Health Care,2724,z_gdp,-0.006464738666889028,0.007480837563151326,-0.8641731106063125,0.3876574108872045
Health Care,2724,z_gpr,-0.001141332216768792,7.08972431199343e-4,-1.6098400537776083,0.10768346138601805
Industrials,2960,z_unemp,-0.001459623346499553,9.354141511828073e-4,-1.5604033193787976,0.11891393737295415
Industrials,2960,z_infl,-3.2810386972550537e-4,1.7425744500031888e-4,-1.8828685897747723,0.05994675970113185
Industrials,2960,z_yield,8.16691744477143e-5,4.929683914559298e-4,0.165668176425091,0.868444479860777
Industrials,2960,z_spread,1.7873017997123113e-4,4.271852348572236e-4,0.41839035010413556,0.6757325346391827
Industrials,2960,z_gdp,-0.013278082590469297,0.0048176210374289855,-2.7561492461340205,0.005932373018590549
Industrials,2960,z_gpr,-6.981834918655307e-4,2.3488151036849352e-4,-2.972492346333207,0.0030096222738661017
Info Tech,2805,z_unemp,9.002595042904516e-4,0.0016533270868814383,0.5445138541754322,0.586183583903354
Info Tech,2805,z_infl,5.736809417860751e-4,7.732700843597677e-4,0.7418894812943096,0.4582915820879583
Info Tech,2805,z_yield,0.0013904359894552317,4.0477059835358016e-4,3.435121016968335,6.11411826953824e-4
Info Tech,2805,z_spread,-0.0038182725801421034,0.0020101374877223074,-1.8995081696966902,0.05772425040360471
Info Tech,2805,z_gdp,-0.007970047563736798,0.002936629680421183,-2.7140117859851167,0.006737410541307728
Info Tech,2805,z_gpr,-9.249675158251283e-4,2.7102726937765334e-4,-3.4128208499059376,6.631970350547246e-4
Materials,2730,z_unemp,-0.0012061939684043582,2.547984792342676e-4,-4.733913530525257,2.4495524263192783e-6
Materials,2730,z_infl,-4.4518478927078127e-4,2.4249128436389786e-4,-1.83587954692305,0.06660933260745901
Materials,2730,z_yield,-2.8956153467716656e-4,5.451755138273567e-4,-0.531134519678489,0.5954185113118787
Materials,2730,z_spread,0.001996362114998781,0.001202727477579414,1.6598623979362481,0.09718920630266455
Materials,2730,z_gdp,-0.01233278505436184,0.002205572376151922,-5.591648312117029,2.75135009290585e-8
Materials,2730,z_gpr,-2.69959279211895e-4,5.63947889122553e-4,-0.4786954334236889,0.6322377802768702
Real Estate,2676,z_unemp,3.1251140431347237e-4,7.967062639990762e-4,0.392254232751752,0.694936245324238
Real Estate,2676,z_infl,-5.651161021731562e-4,1.95734347913944e-4,-2.887158580984537,0.003953269813764361
Real Estate,2676,z_yield,1.0849100493246207e-4,6.119752209598629e-4,0.17728006170298452,0.8593167022389424
Real Estate,2676,z_spread,4.930265832916696e-4,9.067993573397205e-4,0.5436997493448417,0.5867436054666049
Real Estate,2676,z_gdp,-0.011983826830884696,0.004342754555166189,-2.7594989950856426,0.005872260316620633
Real Estate,2676,z_gpr,-2.543771041593803e-4,2.6274603444290324e-4,-0.9681482146770837,0.33315482997823254
Utilities,2426,z_unemp,-3.9441731600005836e-4,4.034453478808016e-4,-0.9776226645612219,0.3284473124393513
Utilities,2426,z_infl,1.876783864751598e-4,3.728771381742826e-4,0.5033250024232889,0.6148231421581158
Utilities,2426,z_yield,8.192594399504316e-4,4.1677971127013723e-4,1.9656893505054178,0.0495522834416779
Utilities,2426,z_spread,-5.370640135793315e-4,7.278676000593272e-4,-0.7378594864444528,0.46073625830034615
Utilities,2426,z_gdp,-0.007658273560037574,0.002061683812440335,-3.7145722898084808,2.123895842429641e-4
Utilities,2426,z_gpr,4.385643081326678e-4,8.278062530696782e-4,0.5297910066593238,0.5963495157764643
