term,estimate,std.error,statistic,p.value
(Intercept),0.00790953226068904,6.297303773098139e-5,125.60188527792297,0
z_unemp,-7.022584402940996e-4,9.726537006855874e-5,-7.22002537798503,5.352530099548573e-13
z_infl,-7.341704799066868e-4,6.783412753676525e-5,-10.823025320238335,3.095337846046448e-27
z_yield,-6.039422592452175e-4,1.1769769480090627e-4,-5.131300661978361,2.899871201249838e-7
z_spread,0.003035943659864985,1.1042137275696377e-4,27.494166972068566,7.12123201075813e-164
z_gdp,1.3250714866964454e-4,1.2417733845781402e-4,1.067079954485096,0.2859464646557604
z_gpr,-6.48783632647173e-5,6.865651516337412e-5,-0.9449702349490593,0.3446835836990798
