iso,n,term,estimate,std.error,statistic,p.value
BEL,1320,z_unemp,-0.011580058240943547,0.003184880800297533,-3.635947141212234,2.878580931392609e-4
BEL,1320,z_infl,-7.096235907387739e-5,1.788986841073401e-4,-0.3966622752311561,0.6916820801981096
BEL,1320,z_yield,0.0010179469839266065,3.9105234594920225e-4,2.603096476651333,0.009344478280128741
BEL,1320,z_spread,0.005590336822395418,0.002013906267005973,2.775867434340149,0.005584970782699513
BEL,1320,z_gdp,-0.017367031799694004,0.008406343306871714,-2.0659436767824397,0.039032926420941916
BEL,1320,z_gpr,9.229881135345977e-4,3.093011905969194e-4,2.984107858599981,0.0028975316272216323
DNK,1320,z_unemp,-0.0019386058326325555,0.01073856464742834,-0.1805274630531568,0.8567668299866088
DNK,1320,z_infl,8.13228534060917e-4,3.6584380764560906e-4,2.222884512640671,0.026396235348956364
DNK,1320,z_yield,6.406727716889602e-4,4.3395590053114805e-4,1.4763545579281152,0.14009260031362925
DNK,1320,z_spread,0.002844743674412003,0.0010040715625624303,2.8332080904194767,0.004680011469285766
DNK,1320,z_gdp,-0.11333582104234914,0.016245789010997425,-6.976319892227308,4.827932687397644e-12
DNK,1320,z_gpr,0.004712116602235409,0.002356497887207042,1.9996269157789412,0.04574980169158661
ESP,1320,z_unemp,-0.001523970912826327,2.2350102245185765e-4,-6.818630608969997,1.4077707213050615e-11
ESP,1320,z_infl,-5.922955747791809e-4,1.3971970531450969e-4,-4.239169939887297,2.4031227104545894e-5
ESP,1320,z_yield,4.705040864466974e-4,2.2436402677273145e-4,2.0970567038507135,0.03618267908512136
ESP,1320,z_spread,0.0011585855397753767,7.287331647128458e-4,1.5898625119276855,0.1121106369526044
ESP,1320,z_gdp,-0.021695410396576107,0.0019005329146025063,-11.41543523391894,8.013347977062032e-29
ESP,1320,z_gpr,0.0022334100588102704,5.652061206591364e-4,3.951496590669781,8.186829090952153e-5
FIN,1320,z_unemp,0.0017328166984596639,0.003847992251223486,0.45031709663882696,0.6525574225968684
FIN,1320,z_infl,-5.522507480407658e-4,1.8049970911730717e-4,-3.0595658615818424,0.0022622613694581887
FIN,1320,z_yield,-0.0017568532163181366,2.531318718152137e-4,-6.940466262583638,6.169736650102409e-12
FIN,1320,z_spread,0.01383688252850208,0.0015632938303433,8.851108000255778,2.7970373861999065e-18
FIN,1320,z_gdp,-0.04018047952891606,0.013405724847881028,-2.9972627354996906,0.002776204732077747
FIN,1320,z_gpr,7.059592903370048e-4,4.063074726420336e-4,1.7375001393562148,0.08253740366314483
FRA,1320,z_unemp,-0.0071573775609957,4.17834888192851e-4,-17.12967912265915,1.980019774785611e-59
FRA,1320,z_infl,-0.0020853890183164256,2.4680335434543193e-4,-8.449597550435497,7.779759528927344e-17
FRA,1320,z_yield,0.0021885664344984688,2.4388658474854637e-4,8.973705695025988,9.867092487986808e-19
FRA,1320,z_spread,0.002231570486248116,0.0013999533615287364,1.5940320210462307,0.11117363702983946
FRA,1320,z_gdp,-0.008690964518216233,0.0010746854225418077,-8.086984652365222,1.39676108896312e-15
FRA,1320,z_gpr,1.1714132459946204e-4,9.68664528830619e-5,1.209307465205484,0.2267661560877548
GBR,1320,z_unemp,-0.007870436092571665,0.0017210594504770528,-4.573018143208298,5.646416796702783e-6
GBR,1320,z_infl,-0.0028483865944908602,0.001036396065364659,-2.7483572059767005,0.006137388529461883
GBR,1320,z_yield,-0.00396207704064609,0.0012534158117705515,-3.1610236630486854,0.0016371315898354303
GBR,1320,z_spread,0.0010162647045805927,9.85836144233546e-4,1.0308657382111952,0.3029451994943509
GBR,1320,z_gdp,-0.013069919161469079,0.0017573996285627572,-7.4370785955827055,2.8943177054085867e-13
GBR,1320,z_gpr,-2.537884392235349e-4,1.7686237656714624e-4,-1.4349487106840018,0.15172999075100818
ITA,1320,z_unemp,-0.0013698990951813564,3.1837729443031764e-4,-4.302753742639089,1.8141448018675572e-5
ITA,1320,z_infl,-5.4507450001191275e-6,1.5788590004490942e-4,-0.03452331714591807,0.9724651858569922
ITA,1320,z_yield,0.00077112464009257615,2.8680953151087347e-4,2.688629753796524,0.007266927458760123
ITA,1320,z_spread,-1.0554668060713946e-5,3.6130174993769524e-4,-0.029212889399329086,0.9766993165091511
ITA,1320,z_gdp,-0.015626485259246623,0.0017899108078288635,-8.730315047486265,7.714290363934538e-18
ITA,1320,z_gpr,0.0015459229557394675,4.761943250746008e-4,3.246411967419567,0.0011987027486634807
NLD,1320,z_unemp,-0.010002947162287997,0.002040732446506863,-4.901645573093188,1.0709966974267307e-6
NLD,1320,z_infl,-1.9979498338439297e-5,1.3269564203449683e-4,-0.15056634891781326,0.880341329163402
NLD,1320,z_yield,-1.0082580471644518e-4,3.948600462309013e-4,-0.2553456741923328,0.7984967994092439
NLD,1320,z_spread,0.005044256910909313,0.0024974504547479745,2.019762554776425,0.04361427878333204
NLD,1320,z_gdp,-0.027189444166401136,0.006184019845245632,-4.396726538208766,1.1892319889148327e-5
NLD,1320,z_gpr,0.0020237313738962815,7.199822527488911e-4,2.810807302776809,0.005016412197805549
POL,1320,z_unemp,-0.009546124821305811,9.091187987106398e-4,-10.50041516559181,8.315850938873921e-25
POL,1320,z_infl,-2.7214635127960205e-4,1.4263919790967523e-4,-1.9079352328659045,0.05662124674184717
POL,1320,z_yield,-0.0012726371495694797,3.047810958976041e-4,-4.175577707080106,3.1716692504474194e-5
POL,1320,z_spread,0.0011465279038607318,4.325947436051925e-4,2.650350982782884,0.008139104719881149
