term,estimate,std.error,statistic,p.value
z_unemp,5.580970869867585e-4,5.937879302388771e-4,0.939892945891035,0.347288677938832
z_infl,-4.93911144490718e-4,2.7868951208349116e-4,-1.7722631210562014,0.0763726152568448
z_yield,-0.0013468643641058435,8.83687731601292e-4,-1.52414061657872,0.1274961565546539
z_spread,4.110412970471533e-4,6.123488764177068e-4,0.6712534518749834,0.5020701477292199
z_gdp,-4.7752235566825394e-4,0.003698572814330517,-0.1291098971522319,0.897272543848785
z_gpr,-6.207711008919799e-4,1.8795424189132508e-4,-3.302777817863291,9.597193475004782e-4
