"node","country","sector","community","Cluster"
"NLD_Cons Disc","NLD","Cons Disc",6,"1"
"NLD_Cons Stap","NLD","Cons Stap",2,"1"
"NLD_Energy","NLD","Energy",6,"1"
"NLD_Financials","NLD","Financials",2,"1"
"NLD_Health Care","NLD","Health Care",1,"1"
"NLD_Industrials","NLD","Industrials",6,"1"
"NLD_Info Tech","NLD","Info Tech",2,"1"
"NLD_Materials","NLD","Materials",2,"1"
"NOR_Communications","NOR","Communications",5,"1"
"NOR_Cons Disc","NOR","Cons Disc",3,"2"
"NOR_Cons Stap","NOR","Cons Stap",3,"1"
"NOR_Energy","NOR","Energy",2,"2"
"NOR_Financials","NOR","Financials",2,"1"
"NOR_Health Care","NOR","Health Care",3,"1"
"NOR_Industrials","NOR","Industrials",1,"1"
"NOR_Info Tech","NOR","Info Tech",3,"1"
"NOR_Materials","NOR","Materials",1,"1"
"NOR_Real Estate","NOR","Real Estate",3,"1"
"NOR_Utilities","NOR","Utilities",3,"1"
"POL_Communications","POL","Communications",5,"1"
"POL_Cons Disc","POL","Cons Disc",7,"2"
"POL_Cons Stap","POL","Cons Stap",7,"2"
"POL_Financials","POL","Financials",7,"2"
"POL_Health Care","POL","Health Care",7,"1"
"POL_Industrials","POL","Industrials",7,"2"
"POL_Info Tech","POL","Info Tech",7,"1"
"POL_Materials","POL","Materials",7,"1"
"POL_Real Estate","POL","Real Estate",5,"2"
"PRT_Cons Disc","PRT","Cons Disc",5,"2"
"PRT_Energy","PRT","Energy",2,"1"
"PRT_Industrials","PRT","Industrials",1,"2"
"PRT_Materials","PRT","Materials",5,"1"
"PRT_Real Estate","PRT","Real Estate",5,"1"
"PRT_Utilities","PRT","Utilities",2,"1"
"SVK_Energy","SVK","Energy",4,"1"
"SVK_Industrials","SVK","Industrials",6,"2"
"SVK_Info Tech","SVK","Info Tech",7,"1"
"SVN_Communications","SVN","Communications",2,"1"
"SVN_Real Estate","SVN","Real Estate",5,"1"
"SWE_Communications","SWE","Communications",3,"2"
"SWE_Cons Disc","SWE","Cons Disc",3,"1"
"SWE_Cons Stap","SWE","Cons Stap",3,"1"
"SWE_Energy","SWE","Energy",6,"2"
"SWE_Financials","SWE","Financials",8,"1"
"SWE_Health Care","SWE","Health Care",3,"1"
"SWE_Industrials","SWE","Industrials",3,"1"
"SWE_Info Tech","SWE","Info Tech",3,"1"
"SWE_Materials","SWE","Materials",3,"1"
"SWE_Real Estate","SWE","Real Estate",3,"1"
"SWE_Utilities","SWE","Utilities",3,"1"
"USA_Communications","USA","Communications",1,"2"
"USA_Cons Disc","USA","Cons Disc",2,"2"
"USA_Cons Stap","USA","Cons Stap",1,"2"
"USA_Energy","USA","Energy",5,"2"
"USA_Financials","USA","Financials",2,"1"
"USA_Health Care","USA","Health Care",3,"2"
"USA_Industrials","USA","Industrials",1,"2"
"USA_Info Tech","USA","Info Tech",1,"2"
"USA_Materials","USA","Materials",1,"2"
"USA_Real Estate","USA","Real Estate",2,"1"
"USA_Utilities","USA","Utilities",2,"1"
